"week","team1","p1","pd","p2","team2"
24,"Eibar","30%","28%","42%","Reial Societat"
26,"Reial Madrid","60%","22%","16%","Barça"
26,"Mallorca","22%","30%","48%","Getafe"
27,"Alavés","42%","28%","30%","València"
27,"Atlètic Madrid","42%","36%","20%","Sevilla"
27,"Barça","72%","16%","12%","Reial Societat"
27,"Betis","18%","26%","56%","Reial Madrid"
27,"Eibar","54%","28%","20%","Mallorca"
27,"Getafe","66%","26%","10%","Celta"
27,"Llevant","40%","32%","28%","Granada"
27,"Osasuna","66%","22%","12%","Espanyol"
27,"Vila-real","74%","18%","8%","Leganés"
27,"Valladolid","30%","44%","26%","Athletic"
28,"Sevilla","64%","22%","14%","Betis"
28,"Athletic","28%","46%","26%","Atlètic Madrid"
28,"Celta","32%","30%","38%","Vila-real"
28,"Espanyol","36%","32%","32%","Alavés"
28,"Granada","34%","34%","32%","Getafe"
28,"Leganés","30%","40%","30%","Valladolid"
28,"Mallorca","14%","20%","66%","Barça"
28,"Reial Madrid","82%","14%","4%","Eibar"
28,"Reial Societat","66%","20%","14%","Osasuna"
28,"València","56%","26%","20%","Llevant"
29,"Alavés","34%","28%","38%","Reial Societat"
29,"Barça","88%","8%","2%","Leganés"
29,"Betis","44%","28%","28%","Granada"
29,"Eibar","32%","38%","30%","Athletic"
29,"Getafe","76%","18%","6%","Espanyol"
29,"Osasuna","30%","34%","36%","Atlètic Madrid"
29,"Reial Madrid","78%","16%","6%","València"
29,"Vila-real","74%","16%","10%","Mallorca"
29,"Valladolid","44%","38%","20%","Celta"
29,"Llevant","32%","32%","38%","Sevilla"
30,"Athletic","50%","32%","20%","Betis"
30,"Atlètic Madrid","52%","36%","12%","Valladolid"
30,"Celta","40%","34%","26%","Alavés"
30,"Espanyol","34%","30%","34%","Llevant"
30,"Getafe","68%","22%","10%","Eibar"
30,"Granada","46%","28%","28%","Vila-real"
30,"Mallorca","50%","30%","18%","Leganés"
30,"Reial Societat","26%","28%","46%","Reial Madrid"
30,"Sevilla","38%","26%","34%","Barça"
30,"València","56%","24%","20%","Osasuna"
31,"Alavés","46%","28%","26%","Osasuna"
31,"Barça","66%","22%","10%","Athletic"
31,"Eibar","38%","28%","32%","València"
31,"Leganés","24%","36%","40%","Granada"
31,"Llevant","28%","38%","36%","Atlètic Madrid"
31,"Reial Madrid","86%","10%","2%","Mallorca"
31,"Reial Societat","66%","22%","10%","Celta"
31,"Vila-real","44%","28%","28%","Sevilla"
31,"Valladolid","26%","38%","36%","Getafe"
31,"Betis","68%","20%","12%","Espanyol"
32,"Athletic","58%","30%","12%","Mallorca"
32,"Atlètic Madrid","58%","30%","12%","Alavés"
32,"Celta","18%","24%","58%","Barça"
32,"Espanyol","10%","22%","68%","Reial Madrid"
32,"Getafe","54%","26%","20%","Reial Societat"
32,"Granada","58%","28%","16%","Eibar"
32,"Llevant","48%","26%","26%","Betis"
32,"Osasuna","64%","24%","12%","Leganés"
32,"Sevilla","58%","30%","12%","Valladolid"
32,"Vila-real","60%","22%","18%","València"
33,"Alavés","38%","32%","30%","Granada"
33,"Barça","56%","28%","16%","Atlètic Madrid"
33,"Betis","44%","24%","32%","Vila-real"
33,"Eibar","42%","28%","30%","Osasuna"
33,"Leganés","18%","32%","50%","Sevilla"
33,"Mallorca","42%","32%","26%","Celta"
33,"Reial Madrid","62%","26%","12%","Getafe"
33,"Reial Societat","78%","16%","6%","Espanyol"
33,"València","42%","34%","24%","Athletic"
33,"Valladolid","42%","36%","24%","Llevant"
34,"Athletic","20%","38%","42%","Reial Madrid"
34,"Atlètic Madrid","66%","26%","8%","Mallorca"
34,"Celta","40%","30%","30%","Betis"
34,"Espanyol","46%","32%","20%","Leganés"
34,"Granada","50%","28%","22%","València"
34,"Llevant","36%","28%","36%","Reial Societat"
34,"Osasuna","32%","30%","38%","Getafe"
34,"Sevilla","68%","22%","10%","Eibar"
34,"Vila-real","34%","22%","44%","Barça"
34,"Valladolid","42%","36%","22%","Alavés"
35,"Athletic","34%","38%","28%","Sevilla"
35,"Barça","90%","6%","2%","Espanyol"
35,"Betis","54%","24%","24%","Osasuna"
35,"Celta","22%","40%","38%","Atlètic Madrid"
35,"Eibar","54%","30%","16%","Leganés"
35,"Getafe","58%","24%","18%","Vila-real"
35,"Mallorca","38%","30%","32%","Llevant"
35,"Reial Madrid","80%","16%","4%","Alavés"
35,"Reial Societat","56%","26%","18%","Granada"
35,"València","52%","30%","18%","Valladolid"
36,"Alavés","28%","32%","40%","Getafe"
36,"Atlètic Madrid","60%","28%","12%","Betis"
36,"Espanyol","38%","32%","30%","Eibar"
36,"Granada","20%","32%","48%","Reial Madrid"
36,"Leganés","28%","32%","42%","València"
36,"Llevant","36%","36%","28%","Athletic"
36,"Osasuna","54%","28%","18%","Celta"
36,"Sevilla","74%","18%","8%","Mallorca"
36,"Vila-real","50%","24%","26%","Reial Societat"
36,"Valladolid","20%","28%","50%","Barça"
37,"Athletic","58%","32%","10%","Leganés"
37,"Barça","84%","10%","6%","Osasuna"
37,"València","68%","20%","10%","Espanyol"
37,"Betis","54%","26%","20%","Alavés"
37,"Reial Societat","46%","28%","26%","Sevilla"
37,"Celta","40%","34%","26%","Llevant"
37,"Reial Madrid","76%","18%","8%","Vila-real"
37,"Eibar","40%","36%","24%","Valladolid"
37,"Getafe","40%","38%","22%","Atlètic Madrid"
37,"Mallorca","32%","32%","38%","Granada"
38,"Leganés","8%","26%","66%","Reial Madrid"
38,"Sevilla","62%","24%","16%","València"
38,"Espanyol","38%","34%","28%","Celta"
38,"Llevant","30%","32%","38%","Getafe"
38,"Alavés","20%","24%","56%","Barça"
38,"Vila-real","68%","20%","12%","Eibar"
38,"Granada","40%","38%","22%","Athletic"
38,"Osasuna","64%","22%","14%","Mallorca"
38,"Atlètic Madrid","48%","32%","20%","Reial Societat"
38,"Valladolid","42%","32%","26%","Betis"
